1 AAPL 100 180.350000 BOT_31 EXCHANGE 2026-03-24_19:17:56
2 AAPL 63 180.010099 EXCHANGE BOT_39 2026-03-24_19:17:56
3 TSLA 79 250.350000 BOT_3 EXCHANGE 2026-03-24_19:17:57
4 MSFT 75 420.350000 BOT_5 EXCHANGE 2026-03-24_19:17:57
5 AMZN 86 184.650000 EXCHANGE BOT_20 2026-03-24_19:17:58
6 AMZN 100 184.989839 BOT_28 EXCHANGE 2026-03-24_19:17:58
7 GOOGL 100 169.650000 EXCHANGE BOT_13 2026-03-24_19:17:58
8 AMZN 82 184.659671 EXCHANGE BOT_9 2026-03-24_19:17:59
9 GOOGL 100 169.309896 EXCHANGE BOT_2 2026-03-24_19:17:59
10 AMZN 100 184.338756 EXCHANGE BOT_4 2026-03-24_19:17:59
11 TSLA 100 250.689274 BOT_7 EXCHANGE 2026-03-24_19:17:59
12 MSFT 96 420.011481 EXCHANGE BOT_30 2026-03-24_19:18:00
13 AAPL 74 179.679821 EXCHANGE BOT_19 2026-03-24_19:18:00
14 TSLA 56 251.018309 BOT_3 EXCHANGE 2026-03-24_19:18:00
15 MSFT 52 420.339096 BOT_22 EXCHANGE 2026-03-24_19:18:01
16 GOOGL 100 168.979261 EXCHANGE BOT_27 2026-03-24_19:18:01
17 GOOGL 94 168.657683 EXCHANGE BOT_16 2026-03-24_19:18:01
18 TSLA 52 250.699206 EXCHANGE BOT_33 2026-03-24_19:18:01
19 TSLA 100 250.389458 EXCHANGE BOT_17 2026-03-24_19:18:02
20 MSFT 70 420.021890 EXCHANGE BOT_2 2026-03-24_19:18:02
21 TSLA 100 250.690340 BOT_17 EXCHANGE 2026-03-24_19:18:03
22 MSFT 100 419.714580 EXCHANGE BOT_35 2026-03-24_19:18:03
23 GOOGL 100 168.970357 BOT_35 EXCHANGE 2026-03-24_19:18:03
24 MSFT 63 420.012386 BOT_9 EXCHANGE 2026-03-24_19:18:04
25 AAPL 100 180.000878 BOT_34 EXCHANGE 2026-03-24_19:18:04
26 AMZN 100 184.026684 EXCHANGE BOT_1 2026-03-24_19:18:04
27 AAPL 100 180.313146 BOT_7 EXCHANGE 2026-03-24_19:18:04
28 MSFT 100 420.301205 BOT_16 EXCHANGE 2026-03-24_19:18:05
29 AAPL 95 180.009390 EXCHANGE BOT_13 2026-03-24_19:18:05
30 GOOGL 100 169.274739 BOT_18 EXCHANGE 2026-03-24_19:18:05
31 MSFT 57 420.020953 EXCHANGE BOT_31 2026-03-24_19:18:06
32 GOOGL 100 169.571179 BOT_36 EXCHANGE 2026-03-24_19:18:06
33 MSFT 100 420.293023 BOT_31 EXCHANGE 2026-03-24_19:18:07
34 AAPL 100 179.713690 EXCHANGE BOT_18 2026-03-24_19:18:07
35 TSLA 100 250.982712 BOT_24 EXCHANGE 2026-03-24_19:18:07
36 AAPL 100 180.001668 BOT_37 EXCHANGE 2026-03-24_19:18:07
37 AAPL 58 180.282280 BOT_15 EXCHANGE 2026-03-24_19:18:08
38 AAPL 100 180.555829 BOT_26 EXCHANGE 2026-03-24_19:18:08
39 GOOGL 100 169.282288 EXCHANGE BOT_5 2026-03-24_19:18:08
40 TSLA 100 251.266956 BOT_19 EXCHANGE 2026-03-24_19:18:09
41 TSLA 100 250.990704 EXCHANGE BOT_34 2026-03-24_19:18:09
42 GOOGL 100 169.000681 EXCHANGE BOT_25 2026-03-24_19:18:09
43 MSFT 100 420.557329 BOT_33 EXCHANGE 2026-03-24_19:18:09
44 TSLA 100 250.721867 EXCHANGE BOT_30 2026-03-24_19:18:10
45 TSLA 81 250.983737 BOT_19 EXCHANGE 2026-03-24_19:18:10
46 MSFT 100 420.814236 BOT_31 EXCHANGE 2026-03-24_19:18:10
47 AMZN 85 183.723066 EXCHANGE BOT_12 2026-03-24_19:18:11
48 GOOGL 100 169.275144 BOT_9 EXCHANGE 2026-03-24_19:18:11
49 AMZN 58 184.018383 BOT_3 EXCHANGE 2026-03-24_19:18:11
50 MSFT 89 420.564538 EXCHANGE BOT_13 2026-03-24_19:18:11
51 AAPL 94 180.822628 BOT_18 EXCHANGE 2026-03-24_19:18:12
52 MSFT 81 420.807623 BOT_16 EXCHANGE 2026-03-24_19:18:12
