MSFT 420.000000 0 2026-03-24_19:17:56
MSFT 420.350000 75 2026-03-24_19:17:57
MSFT 420.011481 96 2026-03-24_19:18:00
MSFT 420.339096 52 2026-03-24_19:18:01
MSFT 420.021890 70 2026-03-24_19:18:02
MSFT 419.714580 100 2026-03-24_19:18:03
MSFT 420.012386 63 2026-03-24_19:18:04
MSFT 420.301205 100 2026-03-24_19:18:05
MSFT 420.020953 57 2026-03-24_19:18:06
MSFT 420.293023 100 2026-03-24_19:18:07
MSFT 420.557329 100 2026-03-24_19:18:09
MSFT 420.814236 100 2026-03-24_19:18:10
MSFT 420.564538 89 2026-03-24_19:18:11
MSFT 420.807623 81 2026-03-24_19:18:12
MSFT 420.571099 100 2026-03-24_19:18:15
MSFT 420.340672 100 2026-03-24_19:18:17
MSFT 420.116054 71 2026-03-24_19:18:18
MSFT 419.896979 63 2026-03-24_19:18:19
MSFT 419.683186 100 2026-03-24_19:18:19
MSFT 419.474416 91 2026-03-24_19:18:20
MSFT 419.270432 100 2026-03-24_19:18:22
MSFT 419.071006 100 2026-03-24_19:18:23
MSFT 418.875921 98 2026-03-24_19:18:24
MSFT 418.684972 100 2026-03-24_19:18:28
MSFT 418.497962 100 2026-03-24_19:18:32
MSFT 418.680761 100 2026-03-24_19:18:33
MSFT 418.859985 100 2026-03-24_19:18:35
MSFT 418.683829 100 2026-03-24_19:18:37
MSFT 418.856343 66 2026-03-24_19:18:38
MSFT 419.025756 59 2026-03-24_19:18:42
MSFT 419.192213 72 2026-03-24_19:18:42
MSFT 419.028289 66 2026-03-24_19:18:43
AAPL 180.000000 0 2026-03-24_19:17:56
AAPL 180.350000 100 2026-03-24_19:17:56
AAPL 180.010099 63 2026-03-24_19:17:56
AAPL 179.679821 74 2026-03-24_19:18:00
AAPL 180.000878 100 2026-03-24_19:18:04
AAPL 180.313146 100 2026-03-24_19:18:04
AAPL 180.009390 95 2026-03-24_19:18:05
AAPL 179.713690 100 2026-03-24_19:18:07
AAPL 180.001668 100 2026-03-24_19:18:07
AAPL 180.282280 58 2026-03-24_19:18:08
AAPL 180.555829 100 2026-03-24_19:18:08
AAPL 180.822628 94 2026-03-24_19:18:12
AAPL 180.562482 100 2026-03-24_19:18:13
AAPL 180.816576 100 2026-03-24_19:18:14
AAPL 180.568586 100 2026-03-24_19:18:22
AAPL 180.811048 99 2026-03-24_19:18:27
AAPL 180.574189 100 2026-03-24_19:18:29
AAPL 180.806000 100 2026-03-24_19:18:29
AAPL 181.032857 100 2026-03-24_19:18:31
AAPL 180.810991 100 2026-03-24_19:18:33
AAPL 180.593662 100 2026-03-24_19:18:34
AAPL 180.380672 100 2026-03-24_19:18:35
AAPL 180.171830 100 2026-03-24_19:18:36
AAPL 179.966955 100 2026-03-24_19:18:38
AAPL 179.765873 100 2026-03-24_19:18:39
AAPL 179.568417 100 2026-03-24_19:18:39
AAPL 179.374428 100 2026-03-24_19:18:40
AAPL 179.564873 100 2026-03-24_19:18:40
AAPL 179.377430 59 2026-03-24_19:18:41
AAPL 179.193032 100 2026-03-24_19:18:44
AAPL 179.374266 100 2026-03-24_19:18:45
AMZN 185.000000 0 2026-03-24_19:17:56
