O 1605 EXCHANGE S GOOGL 70 70 169.551928
O 1612 EXCHANGE B GOOGL 24 24 168.685803
O 1603 EXCHANGE S GOOGL 100 100 169.451928
O 1604 EXCHANGE B GOOGL 100 100 169.085803
O 1606 EXCHANGE B GOOGL 70 70 168.985803
O 1607 EXCHANGE S GOOGL 48 48 169.651928
O 1608 EXCHANGE B GOOGL 48 48 168.885803
O 1609 EXCHANGE S GOOGL 34 34 169.751928
O 1610 EXCHANGE B GOOGL 34 34 168.785803
O 1611 EXCHANGE S GOOGL 24 24 169.851928
O 1700 EXCHANGE B AAPL 24 24 178.795602
O 1636 EXCHANGE S MSFT 100 100 419.189213
O 1637 EXCHANGE B MSFT 100 100 418.867045
O 1702 EXCHANGE S AMZN 100 100 185.505663
O 1638 EXCHANGE S MSFT 70 70 419.289213
O 1703 EXCHANGE B AMZN 100 100 185.149963
O 1639 EXCHANGE B MSFT 70 70 418.767045
O 1704 EXCHANGE S AMZN 70 70 185.605663
O 1640 EXCHANGE S MSFT 48 48 419.389213
O 1705 EXCHANGE B AMZN 70 70 185.049963
O 1641 EXCHANGE B MSFT 48 48 418.667045
O 1706 EXCHANGE S AMZN 48 48 185.705663
O 1642 EXCHANGE S MSFT 34 34 419.489213
O 1707 EXCHANGE B AMZN 48 48 184.949963
O 1643 EXCHANGE B MSFT 34 34 418.567045
O 1708 EXCHANGE S AMZN 34 34 185.805663
O 1644 EXCHANGE S MSFT 24 24 419.589213
O 1709 EXCHANGE B AMZN 34 34 184.849963
O 1645 EXCHANGE B MSFT 24 24 418.467045
O 1691 EXCHANGE S AAPL 100 100 179.552726
O 1692 EXCHANGE B AAPL 100 100 179.195602
O 1693 EXCHANGE S AAPL 70 70 179.652726
O 1694 EXCHANGE B AAPL 70 70 179.095602
O 1695 EXCHANGE S AAPL 48 48 179.752726
O 1696 EXCHANGE B AAPL 48 48 178.995602
O 1697 EXCHANGE S AAPL 34 34 179.852726
O 1698 EXCHANGE B AAPL 34 34 178.895602
O 1699 EXCHANGE S AAPL 24 24 179.952726
O 1710 EXCHANGE S AMZN 24 24 185.905663
O 1711 EXCHANGE B AMZN 24 24 184.749963
O 1713 EXCHANGE S TSLA 100 100 250.080987
O 1714 EXCHANGE B TSLA 100 100 249.749350
O 1715 EXCHANGE S TSLA 70 70 250.180987
O 1716 EXCHANGE B TSLA 70 70 249.649350
O 1717 EXCHANGE S TSLA 48 48 250.280987
O 1718 EXCHANGE B TSLA 48 48 249.549350
O 1719 EXCHANGE S TSLA 34 34 250.380987
O 1720 EXCHANGE B TSLA 34 34 249.449350
O 1721 EXCHANGE S TSLA 24 24 250.480987
O 1722 EXCHANGE B TSLA 24 24 249.349350
