A BOT_23 1000007990.332480 
H AAPL 500000
H AMZN 500000
H GOOGL 500000
H MSFT 499981
H TSLA 500000
A BOT_3 999955492.258505 
H AAPL 500000
H AMZN 500058
H GOOGL 500000
H MSFT 500000
H TSLA 500135
A EXCHANGE 9999344625.589813 
H AAPL 1000064
H AMZN 999564
H GOOGL 999993
H MSFT 1000257
H TSLA 999823
A BOT_21 1000000000.000000 
H AAPL 500000
H AMZN 500000
H GOOGL 500000
H MSFT 500000
H TSLA 500000
A BOT_1 1000059076.072412 
H AAPL 500100
H AMZN 499900
H GOOGL 499900
H MSFT 499900
H TSLA 500000
A BOT_22 999947984.291978 
H AAPL 500000
H AMZN 500100
H GOOGL 499923
H MSFT 500111
H TSLA 500000
A BOT_2 1000034361.241545 
H AAPL 500000
H AMZN 500000
H GOOGL 499882
H MSFT 499930
H TSLA 500060
A BOT_24 999974901.728783 
H AAPL 500000
H AMZN 500000
H GOOGL 500000
H MSFT 500000
H TSLA 500100
A BOT_4 1000018093.486974 
H AAPL 499941
H AMZN 499959
H GOOGL 500000
H MSFT 500000
H TSLA 500000
A BOT_25 1000069821.057700 
H AAPL 499800
H AMZN 500000
H GOOGL 499800
H MSFT 500000
H TSLA 500000
A BOT_5 999990908.628977 
H AAPL 500000
H AMZN 500194
H GOOGL 499900
H MSFT 500075
H TSLA 499834
A BOT_26 999975487.247871 
H AAPL 500100
H AMZN 500196
H GOOGL 500000
H MSFT 499929
H TSLA 500000
A BOT_6 999999899.078785 
H AAPL 500000
H AMZN 500000
H GOOGL 500100
H MSFT 499900
H TSLA 500100
A BOT_27 1000040946.066816 
H AAPL 500000
H AMZN 500000
H GOOGL 500000
H MSFT 499902
H TSLA 500000
A BOT_7 999945817.322510 
H AAPL 500100
H AMZN 500000
H GOOGL 500030
H MSFT 500000
H TSLA 500124
A BOT_28 1000004494.601776 
H AAPL 499900
H AMZN 500300
H GOOGL 500000
H MSFT 499900
H TSLA 500000
A BOT_8 1000035836.826764 
H AAPL 500000
H AMZN 499900
H GOOGL 500000
H MSFT 500000
H TSLA 499931
A BOT_29 1000028098.190142 
H AAPL 500000
H AMZN 500083
H GOOGL 499900
H MSFT 499937
H TSLA 500000
A BOT_9 999986624.591735 
H AAPL 500000
H AMZN 499935
H GOOGL 500100
H MSFT 499963
H TSLA 500096
A BOT_10 999949668.934861 
H AAPL 500100
H AMZN 500000
H GOOGL 500190
H MSFT 500000
H TSLA 500000
A BOT_11 1000079526.891144 
H AAPL 499800
H AMZN 499900
H GOOGL 500000
H MSFT 500000
H TSLA 499900
A BOT_12 999973748.384491 
H AAPL 500000
H AMZN 499915
H GOOGL 500000
H MSFT 500100
H TSLA 500000
A BOT_40 1000018556.275428 
H AAPL 500000
H AMZN 499900
H GOOGL 500000
H MSFT 500000
H TSLA 500000
A BOT_13 1000010064.190327 
H AAPL 499905
H AMZN 500000
H GOOGL 500000
H MSFT 500077
H TSLA 499900
A BOT_14 1000027655.867063 
H AAPL 500000
H AMZN 500000
H GOOGL 500000
H MSFT 499934
H TSLA 500000
A BOT_15 999989543.627749 
H AAPL 500058
H AMZN 500000
H GOOGL 500000
H MSFT 500000
H TSLA 500000
A BOT_16 999939738.284196 
H AAPL 500000
H AMZN 500000
H GOOGL 499906
H MSFT 500181
H TSLA 500000
A BOT_17 1000077526.698577 
H AAPL 500000
H AMZN 499900
H GOOGL 499900
H MSFT 499900
H TSLA 500000
A BOT_18 999943677.829313 
H AAPL 500094
H AMZN 500000
H GOOGL 500100
H MSFT 500000
H TSLA 500089
A BOT_19 999985261.094479 
H AAPL 499926
H AMZN 499906
H GOOGL 500000
H MSFT 500000
H TSLA 500181
A BOT_20 1000096285.892158 
H AAPL 500000
H AMZN 499814
H GOOGL 500000
H MSFT 499900
H TSLA 499920
A BOT_30 1000046837.471472 
H AAPL 500000
H AMZN 500100
H GOOGL 500000
H MSFT 499904
H TSLA 499900
A BOT_31 999974602.585585 
H AAPL 499900
H AMZN 500000
H GOOGL 500000
H MSFT 500143
H TSLA 499933
A BOT_32 999982099.706204 
H AAPL 500099
H AMZN 500000
H GOOGL 500000
H MSFT 500000
H TSLA 500000
A BOT_33 1000021963.179425 
H AAPL 499900
H AMZN 500000
H GOOGL 500200
H MSFT 500000
H TSLA 499848
A BOT_34 1000017959.380447 
H AAPL 500100
H AMZN 500100
H GOOGL 499900
H MSFT 500000
H TSLA 499850
A BOT_35 1000025074.422351 
H AAPL 500000
H AMZN 500000
H GOOGL 500100
H MSFT 499900
H TSLA 500000
A BOT_36 1000008051.241496 
H AAPL 500000
H AMZN 500000
H GOOGL 500100
H MSFT 500000
H TSLA 499900
A BOT_37 1000000514.869897 
H AAPL 500100
H AMZN 499900
H GOOGL 500000
H MSFT 500000
H TSLA 500000
A BOT_38 1000059953.370395 
H AAPL 499900
H AMZN 500000
H GOOGL 500000
H MSFT 499900
H TSLA 500000
A BOT_39 1000019648.004707 
H AAPL 499837
H AMZN 500100
H GOOGL 499800
H MSFT 500000
H TSLA 500100
